started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-01-08 12:49:29.976000+00:00,2021-01-08 13:04:30.763000+00:00,900,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117
2021-01-08 12:49:48.807000+00:00,2021-01-08 12:56:08.575000+00:00,379,502,Ullevål sykehus,langs Kirkeveien,59.9360307,10.7364516,378,Colosseum Kino,langs Fridtjof Nansens vei,59.92984300295666,10.711284727205708
2021-01-08 12:50:06.706000+00:00,2021-01-08 13:22:29.889000+00:00,1943,537,St. Olavs gate,ved Pilestredet,59.9179676629428,10.738628884264756,549,Linaaes gate,langs Møllergata,59.91382393242077,10.745704482209018
2021-01-08 12:50:11.387000+00:00,2021-01-08 12:59:36.950000+00:00,565,470,St. Hanshaugen park nord,krysset Colletts gt / Geitmyrsveien,59.92979845370007,10.743540765932096,431,Chr. Michelsens Gate,ved Fjellgata,59.927292,10.773185
2021-01-08 12:50:18.929000+00:00,2021-01-08 13:07:06.605000+00:00,1007,614,Sinsen T-bane,langs Hans Nielsen Hauges gate,59.938863086921295,10.780603250331886,614,Sinsen T-bane,langs Hans Nielsen Hauges gate,59.938863086921295,10.780603250331886
2021-01-08 12:50:39.269000+00:00,2021-01-08 12:58:05.564000+00:00,446,433,Ila,langs Uelandsgt ved Colletts,59.931828,10.748745,423,Schous plass,nærmest rundkjøringen,59.920335,10.760804
2021-01-08 12:51:31.804000+00:00,2021-01-08 13:17:44.095000+00:00,1572,405,Frognerbadet,langs Middelthuns gate,59.92808,10.708767,465,Bjørvika,under broen Nylandsveien,59.909006,10.75618
2021-01-08 12:51:52.786000+00:00,2021-01-08 13:05:07.153000+00:00,794,535,Uranienborgveien,vest for Slottsparken,59.9200421,10.726634,390,Saga Kino,langs Olav Vs gate,59.91424026794647,10.732771354719745
2021-01-08 12:52:03.832000+00:00,2021-01-08 13:31:45.461000+00:00,2381,429,Thune,ved bomringen,59.92208,10.68588,487,Carl Berners plass nord,ved Hasleveien,59.926929,10.776971
2021-01-08 12:53:30.462000+00:00,2021-01-08 13:05:52.536000+00:00,742,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287,444,AHO,langs Maridalsveien,59.925265,10.750462
